ISO3166_2_CODE,Name_EN,2020_cpi,2020_income,2020_income_relative
VN-89,An Giang,92.03,3338.19,53.8
VN-24,Bac Giang,91.26,3929.68,63.3
VN-6,Bac Kan,93.87,2191.84,35.3
VN-95,Bac Lieu,91.11,3338.48,53.8
VN-27,Bac Ninh,95.52,5439.2,87.7
VN-83,Ben Tre,91.17,3544.07,57.1
VN-52,Binh Dinh,93.17,3441.21,55.5
VN-74,Binh Duong,95.16,7033.77,113.3
VN-70,Binh Phuoc,93.92,4038.69,65.1
VN-60,Binh Thuan,94.13,3981.14,64.2
VN-96,Ca Mau,92.08,3034.4,48.9
VN-92,Can Tho,94.16,5031.09,81.1
VN-4,Cao Bang,94.26,2184.71,35.2
VN-66,Dak Lak,93.23,2715.18,43.8
VN-67,Dak Nong,92.41,2808.54,45.3
VN-11,Dien Bien,95.22,1737.12,28
VN-75,Dong Nai,93.09,5621.32,90.6
VN-87,Dong Thap,90.87,3965.11,63.9
VN-64,Gia Lai,90.97,2314.42,37.3
VN-2,Ha Giang,94.75,1834.55,29.6
VN-35,Ha Nam,90.86,4028.7,64.9
VN-1,Ha Noi,100,6205.45,100
VN-42,Ha Tinh,93.03,3230.14,52.1
VN-30,Hai Duong,93.24,4388.45,70.7
VN-31,Hai Phong,97.38,5199.4,83.8
VN-93,Hau Giang,89.68,3974.29,64
VN-17,Hoa Binh,94.25,2707.25,43.6
VN-33,Hung Yen,91.05,4042.63,65.1
VN-62,Kon Tum,94.26,2375.25,38.3
VN-12,Lai Chau,94.79,1904.81,30.7
VN-68,Lam Dong,96.02,3741.92,60.3
VN-20,Lang Son,94.7,2296.51,37
VN-10,Lao Cai,96.25,2427.04,39.1
VN-80,Long An,93.45,4231.85,68.2
VN-36,Nam Dinh,91.86,4096.22,66
VN-40,Nghe An,91.19,3004.08,48.4
VN-37,Ninh Binh,92.56,3904.38,62.9
VN-58,Ninh Thuan,92.13,2917.97,47
VN-25,Phu Tho,91.07,3331.09,53.7
VN-54,Phu Yen,91.91,3223.61,51.9
VN-44,Quang Binh,95.22,3149.9,50.8
VN-49,Quang Nam,93.22,3554.99,57.3
VN-51,Quang Ngai,90.89,3158.59,50.9
VN-22,Quang Ninh,96.19,4539.47,73.2
VN-45,Quang Tri,91.16,2853.39,46
VN-94,Soc Trang,90.39,3635.02,58.6
VN-14,Son La,96.13,1745.01,28.1
VN-72,Tay Ninh,92.04,4246.05,68.4
VN-34,Thai Binh,91.28,4208.78,67.8
VN-19,Thai Nguyen,93.45,3805.66,61.3
VN-38,Thanh Hoa,91.53,3509.7,56.6
VN-46,Thua Thien - Hue,94.85,3212.37,51.8
VN-82,Tien Giang,93.11,4534.3,73.1
VN-79,Ho Chi Minh city,99.05,6536.88,105.3
VN-84,Tra Vinh,90.75,3436.71,55.4
VN-8,Tuyen Quang,93.85,2681.01,43.2
VN-86,Vinh Long,90.93,3201.26,51.6
VN-26,Vinh Phuc,91.19,4289.92,69.1
VN-15,Yen Bai,92.72,2522.46,40.6
VN-48,Da Nang,97.11,5283.63,85.1
VN-56,Khanh Hoa,94.13,3152.68,50.8
VN-91,Kien Giang,92.24,4368.54,70.4
VN-77,Ba Ria - Vung Tau,96,4610.35,74.3
